# FM Towns 대사 중 DOS 번역에 없는 것들
# Format: NPC번호|FM Towns 영어 원문|<번역 필요>
# 총 803개
#===================================================================

180|drunkenness,~L66sensuality, harmony, lust, laziness, dance, indulgence, and happiness."~P66|<번역 필요>
180|sing,song|<번역 필요>
180|tale,stor|<번역 필요>
181|stoc,make,sure,work,prop,stay|<번역 필요>
181|just,virt|<번역 필요>
181|mand,vers,eigh|<번역 필요>
182|libe,stea,thie|<번역 필요>
182|capt,blac,thec|<번역 필요>
182|crew,star|<번역 필요>
182|four,corn,eart,edge,worl|<번역 필요>
182|wit,prov,wort,repl|<번역 필요>
182|bucc,den|<번역 필요>
183|now,worl,cata|<번역 필요>
183|lang,talk|<번역 필요>
183|beh,lem|<번역 필요>
184|play,joke|<번역 필요>
184|sewe,work|<번역 필요>
184|pan,pipe|<번역 필요>
184|run,away|<번역 필요>
184|wate,runo,drai|<번역 필요>
185|map,piec|<번역 필요>
186|wait,retu,hear,here|<번역 필요>
186|brit,need,help,figh,garg|<번역 필요>
187|rais,crop|<번역 필요>
187|brea,cake,pie,past|<번역 필요>
187|cow,shee|<번역 필요>
187|root,rais,whea,farm|<번역 필요>
187|buy,grain|<번역 필요>
189|job,task|<번역 필요>
189|cont,mant|<번역 필요>
190|job,task|<번역 필요>
190|pass,mant|<번역 필요>
191|job,task|<번역 필요>
191|dili,mant|<번역 필요>
200|sacr,ques,code,mant|<번역 필요>
200|cont,dili,pass|<번역 필요>
200|prin,thre|<번역 필요>
200|name,job|<번역 필요>
200|un-or-us,unorus|<번역 필요>
200|un-us-or,us-un-or,us-or-un,or-us-un,or-un-us|<번역 필요>
200|unusor,usunor,usorun,orusun,orunus|<번역 필요>
200|both,our,peac,all,ever|<번역 필요>
200|huma,me,my,lord,brit|<번역 필요>
200|garg,seer,scho,inqu,lead|<번역 필요>
200|valk,beh,naxa,drax,bole|<번역 필요>
201|cond,info,exch|<번역 필요>
201|paym,inte|<번역 필요>
202|elit,guar,keep,orde|<번역 필요>
202|rank,thin,many,lost,garg|<번역 필요>
202|shri,lose,fear,sent|<번역 필요>
202|demo,daem|<번역 필요>
202|patr,citi|<번역 필요>
202|time,peac|<번역 필요>
